Audio TV,chauffage_électrique,éclairage,Consommation totale,Consommation des téléviseurs
12.13,1960.49,495.15,1.7,55.2
,,,22.2,311.0
,,,14.7,274.3
,,,7.8,297.3
,,,7.9,158.8
,,,0.8,232.4
,,,6.4,0.0
,,,10.0,175.2
,,,0.5,162.5
,,,18.7,
,,,6.6,
,,,1.1,
,,,59.3,147.6
,,,20.8,182.4
,,,1.6,68.3
,,,82.7,36.7
,,,72.9,214.8
,,,56.0,307.8
,,,9.8,180.0
,,,96.2,277.0
,,,15.1,144.1
,,,43.9,393.0
,,,40.9,169.5
,,,45.2,
,,,34.2,724.3
,,,33.5,72.1
,,,50.3,75.5
,,,41.9,64.5
,,,45.6,350.8
,,,50.7,
,,,26.4,
,,,6.6,1143.0
,,,29.1,108.6
,,,44.2,142.8
,,,60.0,365.0
,,,29.1,437.6
,,,53.3,95.5
,,,59.7,68.4
,,,14.2,118.2
,,,30.0,
,,,0.4,
,,,88.7,98.5
,,,16.6,391.7
,,,119.4,83.9
,,,68.4,130.8
,,,103.4,156.7
,,,66.4,82.1
,,,113.3,242.2
,,,59.5,198.2
,,,63.7,105.9
,,,36.8,54.5
,,,86.2,207.8
,,,62.2,66.8
,,,129.4,27.6
,,,76.8,136.5
,,,78.6,92.7
,,,96.4,145.7
,,,49.6,62.0
,,,258.0,
,,,22.3,177.9
,,,4.9,151.8
,,,147.2,33.2
,,,126.3,334.7
,,,38.3,63.7
,,,83.2,634.2
,,,15.5,112.0
,,,90.3,107.9
,,,95.3,86.0
,,,44.5,
,,,55.4,
,,,27.5,
,,,119.5,139.2
,,,141.9,237.1
,,,145.1,295.9
,,,59.9,412.0
,,,80.0,118.5
,,,66.6,76.1
,,,152.5,184.2
,,,70.9,328.5
,,,72.6,24.1
,,,83.5,131.0
,,,75.9,
,,,22.7,
,,,160.4,
,,,101.7,
,,,30.9,3.2
,,,75.6,201.5
,,,87.4,85.4
,,,102.6,279.6
,,,221.5,388.1
,,,62.0,258.0
,,,71.7,115.4
,,,121.4,26.2
,,,95.5,116.1
,,,104.9,20.1
,,,64.2,
,,,21.6,
,,,76.5,
,,,137.9,124.8
,,,72.4,24.9
,,,87.6,104.5
,,,159.7,47.2
,,,109.0,50.8
,,,81.4,208.6
,,,194.8,130.0
,,,61.7,102.5
,,,204.1,132.6
,,,79.6,354.9
,,,49.4,553.7
,,,111.1,37.6
,,,73.9,13.9
,,,76.4,49.0
,,,62.5,22.5
,,,76.8,132.7
,,,61.0,5.1
,,,146.2,33.6
,,,33.0,153.3
,,,58.5,24.6
,,,79.7,0.0
,,,69.9,81.6
,,,51.4,230.5
,,,150.5,10.4
,,,85.4,3.5
,,,106.9,380.6
,,,70.0,47.1
,,,70.6,193.6
,,,83.3,0.7
,,,151.8,
,,,57.5,62.0
,,,85.2,
,,,93.7,48.6
,,,203.7,3.4
,,,184.9,73.6
,,,208.7,34.8
,,,26.2,11.3
,,,92.0,
,,,163.7,
,,,48.4,
,,,75.2,
,,,70.6,
,,,71.9,
,,,74.1,
,,,73.9,
,,,63.6,
,,,47.6,
,,,209.5,
,,,159.3,
,,,200.8,
,,,154.0,
,,,98.5,
,,,180.7,
,,,74.4,
,,,59.6,
,,,90.0,
,,,62.8,
,,,80.4,
,,,36.9,
,,,158.8,
,,,71.4,
,,,108.6,
,,,108.6,
,,,108.6,
,,,22.6,
,,,57.4,
,,,115.8,
,,,70.5,
,,,91.3,
,,,76.3,
,,,36.1,
,,,85.4,
,,,38.5,
,,,113.9,
,,,113.9,
,,,133.6,
,,,125.0,
,,,125.0,
,,,77.3,
,,,88.6,
,,,13.9,
,,,60.7,
,,,130.2,
,,,62.6,
,,,94.1,
,,,92.4,
,,,73.5,
,,,126.0,
,,,113.3,
,,,53.8,
,,,120.2,
,,,71.3,
,,,135.3,
